moVNKJDhY3TdYEUyNGaVqqGBftwirMuXEi	 ShortPosNettedPartly	 1436	 miAwK7xYRK1VnGC3oVV4EzKu738An5es2H	 ShortPosIncreased	 2903	 2033	 20370
n1JwTxTppZ3UJoY5S1owVEaRthhNC2nJZ4	 OpenLongPosition	 1981	 miAwK7xYRK1VnGC3oVV4EzKu738An5es2H	 ShortPosIncreased	 4884	 1981	 20424
miAwK7xYRK1VnGC3oVV4EzKu738An5es2H	 ShortPosNettedPartly	 4466	 mqhTh5ZcApc7wwVGcTVqnD1nLvMHkxP36Q	 OpenShortPosition	 418	 418	 18800
mys6GNmJjcduGaNJ51mFEtSVMkWJJcZAhT	 OpenLongPosition	 342	 mvefghSWsgWzDEk5S4kD8Wjme2tDaxVPNa	 OpenShortPosition	 342	 342	 11639
mzCCCyeBfc7YnxTCRnuD9WaHCohgCBzmsM	 ShortPosNettedPartly	 1908	 mvefghSWsgWzDEk5S4kD8Wjme2tDaxVPNa	 ShortPosIncreased	 1555	 1213	 11642
n3Ve7epNuqajmh8Kg2uvp1erX8ene4hHiw	 LongPosIncreased	 2701	 n36TpyQsXvWycV8UfDzZAJuRWtDe81kiK5	 OpenShortPosition	 1763	 1763	 15685
miAwK7xYRK1VnGC3oVV4EzKu738An5es2H	 ShortPosNettedPartly	 3750	 mtMK7LUeyd4cjcyWWosdGcCbPMatuKk2fY	 LongPosNettedPartly	 3203	 716	 18800
miAwK7xYRK1VnGC3oVV4EzKu738An5es2H	 ShortPosNettedPartly	 2659	 mpYSUa8FFCsX8q7tFgmQnrJ9LTdYSr7GBH	 OpenShortPosition	 1091	 1091	 18800
n1JwTxTppZ3UJoY5S1owVEaRthhNC2nJZ4	 LongPosIncreased	 2957	 n1b1AGU4DWnDR4SjBg7dQVQW3qwTWBJ5cR	 LongPosNettedPartly	 1322	 976	 20424
mkCyJgaETPu6QuZZAXzq5g4M4hjVZ1dxzW	 ShortPosNettedPartly	 110	 n1b1AGU4DWnDR4SjBg7dQVQW3qwTWBJ5cR	 LongPosNettedPartly	 1	 1321	 20548
mieJnaQEAd5F6KhtwGEfKveciWFkuTr3Tu	 ShortPosNetted	 0	 mo1oJX78m4QX6z6qRVwA37RzQYmMAYc4LC	 LongPosNettedPartly	 2079	 2079	 16442
mieJnaQEAd5F6KhtwGEfKveciWFkuTr3Tu	 OpenLongPosition	 608	 mo1oJX78m4QX6z6qRVwA37RzQYmMAYc4LC	 LongPosNettedPartly	 1471	 608	 16442
n2z2mTwSSQVREZyzXT5f5kxqDCMtG8TQD6	 ShortPosNettedPartly	 1620	 mo1oJX78m4QX6z6qRVwA37RzQYmMAYc4LC	 LongPosNettedPartly	 1205	 266	 16835
mkNWPMwVTcHnpotgMFuH1cYF8bVXL5MkTA	 ShortPosNettedPartly	 2291	 mys6GNmJjcduGaNJ51mFEtSVMkWJJcZAhT	 LongPosNetted	 0	 342	 11330
mkNWPMwVTcHnpotgMFuH1cYF8bVXL5MkTA	 ShortPosNettedPartly	 1005	 mys6GNmJjcduGaNJ51mFEtSVMkWJJcZAhT	 OpenShortPosition	 1286	 1286	 11330
miAwK7xYRK1VnGC3oVV4EzKu738An5es2H	 ShortPosNettedPartly	 1746	 mhTH1HJWKKvyF98iHMwhinrWaXwDQmGTfA	 OpenShortPosition	 913	 913	 18800
n2z2mTwSSQVREZyzXT5f5kxqDCMtG8TQD6	 ShortPosNetted	 0	 n4TGnst5kkrnXK6jnj3bemdU1y95m4Uoiy	 LongPosNettedPartly	 3279	 3279	 16835
n2z2mTwSSQVREZyzXT5f5kxqDCMtG8TQD6	 OpenLongPosition	 965	 n4TGnst5kkrnXK6jnj3bemdU1y95m4Uoiy	 LongPosNettedPartly	 2314	 965	 16835
miAwK7xYRK1VnGC3oVV4EzKu738An5es2H	 ShortPosNettedPartly	 634	 mgDksbLHwynt3cRoSRRP8HRwMaSwoaU719	 OpenShortPosition	 1112	 1112	 18800
n2z2mTwSSQVREZyzXT5f5kxqDCMtG8TQD6	 LongPosIncreased	 3155	 mnmqAcQn4iwzznG9RvM8ffuo8nHL6SwDdW	 OpenShortPosition	 2190	 2190	 16835
mtMK7LUeyd4cjcyWWosdGcCbPMatuKk2fY	 LongPosIncreased	 3941	 mnmqAcQn4iwzznG9RvM8ffuo8nHL6SwDdW	 ShortPosIncreased	 2928	 738	 17059
n3kivgjjGWVF2DwX3SdJCuEJyaZwR119YP	 OpenLongPosition	 116	 mnmqAcQn4iwzznG9RvM8ffuo8nHL6SwDdW	 ShortPosIncreased	 3044	 116	 17075
mnH8Qwnkt1nayabcG6Tiqnt9VaZ67feWx4	 OpenLongPosition	 1554	 my9mdAL9N5vCCQ7BNfKu5J1VWy3XFwxoD6	 LongPosNetted	 0	 1554	 15726
mnH8Qwnkt1nayabcG6Tiqnt9VaZ67feWx4	 LongPosIncreased	 2721	 my9mdAL9N5vCCQ7BNfKu5J1VWy3XFwxoD6	 OpenShortPosition	 1167	 1167	 15726
n4bvKdMpVREcz8rn9JkBqZzVxsTNCjj8jz	 ShortPosNettedPartly	 2627	 my9mdAL9N5vCCQ7BNfKu5J1VWy3XFwxoD6	 ShortPosIncreased	 1635	 468	 15741
mkNtf2agH9g82F765KAf1pd6h4F147kjoB	 ShortPosNettedPartly	 2372	 mffZ9e6mreCcSmqhR68mhChNbrGhvWL9EK	 OpenShortPosition	 2357	 2357	 11528
mzCCCyeBfc7YnxTCRnuD9WaHCohgCBzmsM	 ShortPosNettedPartly	 713	 mffZ9e6mreCcSmqhR68mhChNbrGhvWL9EK	 ShortPosIncreased	 3552	 1195	 11642
mqnTnwiqyaEY5oNVLz2V8JdXN4WAzhKD3U	 ShortPosNettedPartly	 2026	 mffZ9e6mreCcSmqhR68mhChNbrGhvWL9EK	 ShortPosIncreased	 4287	 735	 11729
mn8QLENXx1oxAbnKD13mwRXjJZa9xeq2Bt	 ShortPosNettedPartly	 3036	 mffZ9e6mreCcSmqhR68mhChNbrGhvWL9EK	 ShortPosIncreased	 5015	 728	 11773
n3Ve7epNuqajmh8Kg2uvp1erX8ene4hHiw	 LongPosIncreased	 3807	 mkekD5nYUwa3qvyyHK3hZwd6Y7rBtScNxK	 LongPosNettedPartly	 13	 1106	 15685
