mtMM8voZ2nq8rH6HDHQ69bKPFHrjCHTSVg	 ShortPosNettedPartly	 1969	 msKwGJEmNP8EdGfbHY6DZBSc29yAh416RZ	 OpenShortPosition	 976	 976
mpjy86G1Zo3D8RtuFKrYqu8UgmMevcSwTh	 LongPosIncreased	 2325	 murBR8zMEbrqqhQKcw2J8hkyH2ubGNHDK2	 OpenShortPosition	 1270	 1270
mqHqzkycKSezcinCHPBMTZjEjbbZ5DcP1F	 LongPosIncreased	 1125	 murBR8zMEbrqqhQKcw2J8hkyH2ubGNHDK2	 ShortPosIncreased	 2337	 1067
mqHqzkycKSezcinCHPBMTZjEjbbZ5DcP1F	 LongPosIncreased	 1754	 mkmCFnFx8BeN1WdAYNaeskmdsiVwohpiFr	 LongPosNettedPartly	 1732	 629
n1pJi3pTXvAfdhhh5SQ84R82UwKm6yfHaL	 ShortPosNetted	 0	 n4QsB5r92PpQ5sqjncC9xQqAbJXHzB9rTR	 LongPosNettedPartly	 1564	 1564
n1pJi3pTXvAfdhhh5SQ84R82UwKm6yfHaL	 OpenLongPosition	 882	 n4QsB5r92PpQ5sqjncC9xQqAbJXHzB9rTR	 LongPosNettedPartly	 682	 882
mpqNzLhjtCTepYabixP7CcD7hwFMbkzmU4	 ShortPosNetted	 0	 mmrE2QVeYzNEvEkkd3hCpg8n1cib6rEkuV	 OpenShortPosition	 606	 606
mpqNzLhjtCTepYabixP7CcD7hwFMbkzmU4	 OpenLongPosition	 2308	 mmrE2QVeYzNEvEkkd3hCpg8n1cib6rEkuV	 ShortPosIncreased	 2914	 2308
murBR8zMEbrqqhQKcw2J8hkyH2ubGNHDK2	 ShortPosNettedPartly	 1006	 mmrE2QVeYzNEvEkkd3hCpg8n1cib6rEkuV	 ShortPosIncreased	 4245	 1331
n1pJi3pTXvAfdhhh5SQ84R82UwKm6yfHaL	 LongPosIncreased	 1611	 mtCfguT9wTAUFWS2hPFSKTFfeep8p8Y15D	 LongPosNettedPartly	 439	 729
mtQoU2a1dXhNVSeoRj1dsB3cm9EHc6aQ7m	 ShortPosNettedPartly	 8	 mtCfguT9wTAUFWS2hPFSKTFfeep8p8Y15D	 LongPosNetted	 0	 439
mtQoU2a1dXhNVSeoRj1dsB3cm9EHc6aQ7m	 ShortPosNetted	 0	 mtCfguT9wTAUFWS2hPFSKTFfeep8p8Y15D	 OpenShortPosition	 8	 8
